UNIT,EXERCISE,ENGLISH,KOREAN,ANSWER1,ANSWER2
1,1,Our store divides products into different c__________ for easier shopping.,우리 매장은 더 쉬운 쇼핑을 위해 제품을 다양한 범주로 구분합니다.,category,
1,1,I e__________ several difficulties when trying to learn a new language.,새로운 언어를 배우려고 할 때 나는 여러 어려움을 마주쳤다.,encountered,
1,1,Only e__________ students are invited to participate in the advanced program.,뛰어난 학생들만 고급 프로그램에 참여하도록 초대받습니다.,exceptional,
1,2,She has a strong d__________ for foods with artificial flavors.,그녀는 인공 향이 든 음식에 대한 강한 혐오감이 있다.,dislike,
1,2,Important thoughts tend to o__________ my mind before bedtime.,중요한 생각들이 자기 전에 내 마음을 차지하는 경향이 있다.,occupy,
1,2,The company offers financial i__________ to employees who exceed their sales targets.,회사는 판매 목표를 초과하는 직원들에게 재정적 인센티브를 제공한다.,incentive,
1,3,Tensions began to e__________ between the two groups after the controversial decision.,논란이 많은 결정 이후 두 그룹 간의 긴장이 고조되기 시작했다.,escalate,
1,3,His e__________ of the fish size made everyone laugh at the fishing competition.,낚시 대회에서 그의 물고기 크기에 대한 과장이 모두를 웃게 했다.,exaggeration,
1,3,The company was fined for using d__________ marketing tactics to sell their products.,그 회사는 제품을 판매하기 위해 기만적인 마케팅 전술을 사용한 것에 대해 벌금을 물었다.,deceptive,
1,4,Social n__________ vary widely across different cultures and societies.,사회적 규범은 다양한 문화와 사회에 걸쳐 크게 다르다.,norms,
1,4,A concerned p__________ called the ambulance after seeing the bicycle accident.,관심 있는 행인이 자전거 사고를 목격한 후 구급차를 불렀다.,passerby,
1,4,Being u__________ to customer feedback can damage a company's reputation.,고객 피드백에 무반응적인 것은 회사의 평판을 해칠 수 있다.,unresponsive,
1,5,Ancient Greek p__________ continues to influence modern thinking.,고대 그리스 철학은 계속해서 현대 사상에 영향을 미친다.,philosophy,
1,5,The museum contains artifacts representing the cultural h__________ of many nations.,박물관은 많은 국가의 문화 유산을 대표하는 유물을 보관하고 있다.,heritage,
1,5,Many historical buildings have r__________ significance for local communities.,많은 역사적 건물은 지역 사회에 종교적 의미가 있다.,religious,
1,6,Government c__________ of power can lead to inefficient decision-making processes.,정부의 권력 중앙화는 비효율적인 의사결정 과정으로 이어질 수 있다.,centralization,
1,6,Passports are i__________ by government agencies for international travel.,여권은 국제 여행을 위해 정부 기관에서 발급된다.,issued,
1,6,The new software was designed to a__________ teachers with grading assignments.,새로운 소프트웨어는 교사들이 과제 채점을 도울 수 있도록 설계되었다.,assist,
1,7,The p__________ function of education is to prepare students for future challenges.,교육의 주요 기능은 학생들을 미래의 도전에 대비시키는 것이다.,primary,
